fa_numero|lf_numero|px_numero|pd_numero|lf_quantite|lf_montantht|lf_montantttc|update_time|update_user|pe_numero|ag_numero|fa_date|fa_reduction|fa_montantht|fa_montantttc|fa_accompte|fa_annotation|fa_libelle|update_time|update_user|de_numero|fa_numfact|so_numero
1417664|24265|||1|21.1459353574927|21.59|02/10/2005 18:44:34.420997|jean|1001489|12|25/05/2005|0.00|21.14|21.59|0.00||ABONNEMENT AVENIR AQUITAIN|18/11/2005 18:43:59.686198|brice||2005001495|3
1417556|28215|||1|28.050930460333|28.64|02/10/2005 18:44:34.420997|jean|1016690|12|28/02/2005|0.00|28.05|28.64|0.00||ABONNEMENT AVENIR AQUITAIN|18/11/2005 18:43:59.686198|brice||2005000764|3
1417557|28216|||1|28.050930460333|28.64|02/10/2005 18:44:34.420997|jean|1016691|12|28/02/2005|0.00|28.05|28.64|0.00||ABONNEMENT AVENIR AQUITAIN|18/11/2005 18:43:59.686198|brice||2005000765|3
1417558|28217|||1|28.050930460333|28.64|02/10/2005 18:44:34.420997|jean|1016692|12|28/02/2005|0.00|28.05|28.64|0.00||ABONNEMENT AVENIR AQUITAIN|18/11/2005 18:43:59.686198|brice||2005000766|3
1417559|28218|||1|28.050930460333|28.64|02/10/2005 18:44:34.420997|jean|1016693|12|28/02/2005|0.00|28.05|28.64|0.00||ABONNEMENT AVENIR AQUITAIN|18/11/2005 18:43:59.686198|brice||2005000767|3
1417655|28305|||1|18.6973555337904|19.09|02/10/2005 18:44:34.420997|jean|1016302|12|08/03/2005|0.00|18.69|19.09|0.00||ABONNEMENT AVENIR AQUITAIN|18/11/2005 18:43:59.686198|brice||2005001484|3
1417656|28306|||1|20.0293829578844|20.45|02/10/2005 18:44:34.420997|jean|1014961|12|28/02/2005|0.00|20.02|20.45|0.00||ABONNEMENT AVENIR AQUITAIN|18/11/2005 18:43:59.686198|brice||2005001485|3
1417657|28307|||1|20.0293829578844|20.45|02/10/2005 18:44:34.420997|jean|1014961|12|28/02/2005|0.00|20.02|20.45|0.00||ABONNEMENT AVENIR AQUITAIN|18/11/2005 18:43:59.686198|brice||2005001486|3
1417663|28313|||1|18.6973555337904|19.09|02/10/2005 18:44:34.420997|jean|1016299|12|08/03/2005|0.00|18.69|19.09|0.00||ABONNEMENT AVENIR AQUITAIN|18/11/2005 18:43:59.686198|brice||2005001489|3
1417774|28417|||1|17.3653281096964|17.73|02/10/2005 18:44:34.420997|jean|1016767|12|15/06/2005|0.00|17.36|17.73|0.00||ABONNEMENT AVENIR AQUITAIN|18/11/2005 18:43:59.686198|brice||2005001659|3
1417838|28467|||1|17.3653281096964|17.73|02/10/2005 18:44:34.420997|jean|1004842|12|23/08/2005|0.00|17.36|17.73|0.00||ABONNEMENT AVENIR AQUITAIN|18/11/2005 18:43:59.686198|brice||2005002047|3
1417479|41392|||1|5.33790401567091|5.45|02/10/2005 18:44:34.420997|jean|1016612|12|22/10/2004|0.00|5.33|5.45|0.00||ABONNEMENT AVENIR AQUITAIN|18/11/2005 18:43:59.686198|brice||2004002487|3
1417480|41393|||1|5.33790401567091|5.45|02/10/2005 18:44:34.420997|jean|1016613|12|22/10/2004|0.00|5.33|5.45|0.00||ABONNEMENT AVENIR AQUITAIN|18/11/2005 18:43:59.686198|brice||2004002488|3
1417357|23813|||1|28.050930460333|28.64|02/10/2005 18:44:34.420997|jean|1005997|12|24/08/2004|0.00|28.05|28.64|0.00||ABONNEMENT AVENIR AQUITAIN|18/11/2005 18:43:59.686198|brice||2004002266|3
1417362|23814|||1|28.050930460333|28.64|02/10/2005 18:44:34.420997|jean|1015542|12|24/08/2004|0.00|28.05|28.64|0.00||ABONNEMENT AVENIR AQUITAIN|18/11/2005 18:43:59.686198|brice||2004002270|3
1417363|23815|||1|28.050930460333|28.64|02/10/2005 18:44:34.420997|jean|1016137|12|24/08/2004|0.00|28.05|28.64|0.00||ABONNEMENT AVENIR AQUITAIN|18/11/2005 18:43:59.686198|brice||2004002271|3
1417364|23816|||1|28.050930460333|28.64|02/10/2005 18:44:34.420997|jean|1006095|12|24/08/2004|0.00|28.05|28.64|0.00||ABONNEMENT AVENIR AQUITAIN|18/11/2005 18:43:59.686198|brice||2004002272|3
1417365|23817|||1|28.050930460333|28.64|02/10/2005 18:44:34.420997|jean|1006098|12|24/08/2004|0.00|28.05|28.64|0.00||ABONNEMENT AVENIR AQUITAIN|18/11/2005 18:43:59.686198|brice||2004002273|3
1417378|23819|||1|28.050930460333|28.64|02/10/2005 18:44:34.420997|jean|1006559|12|24/08/2004|0.00|28.05|28.64|0.00||ABONNEMENT AVENIR AQUITAIN|18/11/2005 18:43:59.686198|brice||2004002286|3
1416594|27846|||3|264.446620959843|270|02/10/2005 18:44:34.420997|jean|1006050|12|06/10/2004|0.00|88.14|90.00|0.00||ABONNEMENT AVENIR AQUITAIN|18/11/2005 18:43:59.686198|brice||2004002430|3
